Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
37,Exit long,2025-08-13 08:30,Exit,315.43,33,10420.15,247.25,2.43,333.63,3.28,-29.7,-0.29,667.4,6.67
37,Entry long,2025-08-12 10:30,Long,307.94,33,10420.15,247.25,2.43,333.63,3.28,-29.7,-0.29,667.4,6.67
38,Exit long,2025-08-28 08:45,Exit,304.19,35,10667.4,210.02,2.01,376.77,3.61,-154.35,-1.48,877.41,8.77
38,Entry long,2025-08-26 10:15,Long,298.19,35,10667.4,210.02,2.01,376.77,3.61,-154.35,-1.48,877.41,8.77
39,Exit long,2025-09-04 06:45,Exit,303.74,36,10877.41,300.32,2.82,370.8,3.49,-64.8,-0.61,1177.73,11.78
39,Entry long,2025-09-02 10:30,Long,295.4,36,10877.41,300.32,2.82,370.8,3.49,-64.8,-0.61,1177.73,11.78
40,Exit long,2025-10-02 07:00,Exit,339.63,33,11177.73,354.91,3.27,447.97,4.13,-144.38,-1.33,1532.65,15.33
40,Entry long,2025-09-30 14:15,Long,328.88,33,11177.73,354.91,3.27,447.97,4.13,-144.38,-1.33,1532.65,15.33
41,Exit long,2025-10-10 07:00,Exit,345.52,34,11532.65,269.19,2.35,378.05,3.29,-169.32,-1.48,1801.84,18.02
41,Entry long,2025-10-07 15:15,Long,337.6,34,11532.65,269.19,2.35,378.05,3.29,-169.32,-1.48,1801.84,18.02
42,Exit long,2025-10-30 10:30,Exit,370.95,30,11801.84,-450.92,-3.89,180.0,1.55,-462.0,-3.99,1350.91,13.51
42,Entry long,2025-10-29 15:00,Long,385.98,30,11801.84,-450.92,-3.89,180.0,1.55,-462.0,-3.99,1350.91,13.51
43,Exit long,2025-11-07 09:30,Exit,345.76,31,11350.91,-515.98,-4.59,76.36,0.68,-564.41,-5.02,834.93,8.35
43,Entry long,2025-11-05 10:30,Long,362.41,31,11350.91,-515.98,-4.59,76.36,0.68,-564.41,-5.02,834.93,8.35
44,Exit long,2025-11-10 09:30,Exit,355.93,31,10834.93,264.51,2.46,390.6,3.63,-54.87,-0.51,1099.44,10.99
44,Entry long,2025-11-07 15:45,Long,347.4,31,10834.93,264.51,2.46,390.6,3.63,-54.87,-0.51,1099.44,10.99
45,Exit long,2025-11-17 11:15,Exit,343.75,32,11099.44,10.99,0.1,281.28,2.56,-188.48,-1.72,1110.43,11.1
45,Entry long,2025-11-14 11:30,Long,343.41,32,11099.44,10.99,0.1,281.28,2.56,-188.48,-1.72,1110.43,11.1
46,Exit long,2025-11-20 12:00,Exit,356.15,29,11110.43,-466.55,-4.32,111.36,1.03,-529.25,-4.9,643.88,6.44
46,Entry long,2025-11-20 10:30,Long,372.24,29,11110.43,-466.55,-4.32,111.36,1.03,-529.25,-4.9,643.88,6.44
47,Exit long,2025-11-28 07:00,Exit,397.25,27,10643.88,302.51,2.9,392.04,3.76,-244.03,-2.34,946.39,9.46
47,Entry long,2025-11-25 15:00,Long,386.05,27,10643.88,302.51,2.9,392.04,3.76,-244.03,-2.34,946.39,9.46
48,Exit long,2025-12-01 08:00,Exit,391.19,27,10946.39,-276.31,-2.55,45.25,0.42,-308.34,-2.84,670.08,6.7
48,Entry long,2025-11-28 10:15,Long,401.42,27,10946.39,-276.31,-2.55,45.25,0.42,-308.34,-2.84,670.08,6.7
49,Exit long,2025-12-05 10:45,Exit,387.62,28,10670.08,185.98,1.74,351.4,3.29,-124.6,-1.17,856.06,8.56
49,Entry long,2025-12-03 15:15,Long,380.98,28,10670.08,185.98,1.74,351.4,3.29,-124.6,-1.17,856.06,8.56
50,Exit long,2025-12-11 09:45,Exit,397.95,26,10856.06,-243.67,-2.3,189.54,1.79,-299.52,-2.83,612.39,6.12
50,Entry long,2025-12-10 14:15,Long,407.32,26,10856.06,-243.67,-2.3,189.54,1.79,-299.52,-2.83,612.39,6.12
51,Exit long,2026-01-14 09:30,Exit,345.26,29,10612.39,-261.74,-2.55,150.8,1.47,-320.16,-3.12,350.65,3.51
51,Entry long,2026-01-13 10:45,Long,354.29,29,10612.39,-261.74,-2.55,150.8,1.47,-320.16,-3.12,350.65,3.51
